source,order,family,genus,specificEp,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Anthophoridae,Diadasia,enavata,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,enavata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,ochracea,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,ochracea,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,ochracea,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,opuntiae,1939,Pan-Pac. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,opuntiae,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,1,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,opuntiae,1969,"Ph. D. thesis, Univ. Calif. D.",,,,,1,1,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,opuntiae,1985,Ent. Calif. Ch. Isls. Proc.,1940,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,opuntiae,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,rinconis,1939,Bios,,,,,,1,1,,1,
lit,Hymenoptera,Anthophoridae,Diadasia,rinconis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,1,1,,1,1
lit,Hymenoptera,Anthophoridae,Diadasia,rinconis mimetica,1924,Pan-Pac. Ent.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Diadasia,rinconis mimetica,1938,Ann. & Mag. Nat. Hist.,1938,5,,,1,,1,,,
lit,Hymenoptera,Anthophoridae,Diadasia,rinconis mimetica,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,,,1
lit,Hymenoptera,Anthophoridae,Diadasia,rinconis mimetica,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,1,1,,1,
lit,Hymenoptera,Anthophoridae,Diadasia,rinconis mimetica,1969,"Ph. D. thesis, Univ. Calif. D.",,,,,1,1,1,,1,1
lit,Hymenoptera,Anthophoridae,Emphor,sp.?,1892,Zoe,1892,8,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Epeolus,minimus,1937,Pan-Pac. Ent.,1927,7,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Epeolus,minimus,1938,Ann. & Mag. Nat. Hist.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Epeolus,minimus,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Epeolus,minimus,1984,Pan-Pac. Ent.,,,1,,1,,1,1,,1
lit,Hymenoptera,Anthophoridae,Epeolus,minimus,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Epeolus,minimus,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,1,,1
lit,Hymenoptera,Anthophoridae,Epeolus,sp.,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Epeolus,sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,
lit,Hymenoptera,Anthophoridae,Exomalopsis (Anthophor.),cockerelli,1980,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Exomalopsis (Anthophor.),cockerelli,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Exomalopsis (Anthophor.),nitens,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
